date,unit,value
2024-05-21,dist km,9.11143
2024-05-21,step count,15095.0
2024-05-22,dist km,14.859895
2024-05-22,step count,23612.0
2024-05-23,dist km,14.40138
2024-05-23,step count,19960.0
2024-05-24,dist km,8.617844999999999
2024-05-24,step count,11096.0
2024-05-25,dist km,13.07588
2024-05-25,step count,17843.0
2024-05-26,dist km,14.802340000000001
2024-05-26,step count,19410.0
2024-05-27,dist km,11.37392
2024-05-27,step count,16957.0
2024-05-28,dist km,24.901785
2024-05-28,step count,34482.0
2024-05-29,dist km,18.2637
2024-05-29,step count,28006.0
2024-05-30,dist km,14.62576
2024-05-30,step count,19807.0
2024-05-31,dist km,10.861749
2024-05-31,step count,18382.0
2024-06-01,dist km,10.57315
2024-06-01,step count,17551.0
2024-06-02,dist km,8.90681
2024-06-02,step count,11798.0
2024-06-03,dist km,9.97196
2024-06-03,step count,14750.0
2024-06-04,dist km,17.364718
2024-06-04,step count,26271.0
2024-06-05,dist km,23.282254000000002
2024-06-05,step count,34512.0
2024-06-06,dist km,17.235821
2024-06-06,step count,23965.0
2024-06-07,dist km,24.7098
2024-06-07,step count,37734.0
2024-06-08,dist km,18.70147
2024-06-08,step count,29585.0
2024-06-09,dist km,14.63681
2024-06-09,step count,18889.0
2024-06-10,dist km,24.19128
2024-06-10,step count,34748.0
2024-06-11,dist km,17.61371
2024-06-11,step count,26163.0
2024-06-12,dist km,14.09126
2024-06-12,step count,20872.0
2024-06-13,dist km,14.214718
2024-06-13,step count,21950.0
2024-06-14,dist km,10.48628
2024-06-14,step count,14121.0
2024-06-15,dist km,12.7104
2024-06-15,step count,21646.0
2024-06-16,dist km,20.04288
2024-06-16,step count,27168.0
2024-06-17,dist km,24.006066
2024-06-17,step count,32267.0
2024-06-18,dist km,16.335741
2024-06-18,step count,21475.0
2024-06-19,dist km,29.780621
2024-06-19,step count,41711.0
2024-06-20,dist km,16.05686
2024-06-20,step count,22111.0
2024-06-21,dist km,29.567729
2024-06-21,step count,41681.0
2024-06-22,dist km,18.919385
2024-06-22,step count,27264.0
2024-06-23,dist km,20.769146
2024-06-23,step count,29839.0
2024-06-24,dist km,21.208419
2024-06-24,step count,32590.0
2024-06-25,dist km,24.60057
2024-06-25,step count,38402.0
2024-06-26,dist km,25.26274
2024-06-26,step count,40183.0
2024-06-27,dist km,26.928252
2024-06-27,step count,39388.0
2024-06-28,dist km,16.3647726
2024-06-28,step count,26177.0
2024-06-29,dist km,31.97302
2024-06-29,step count,46727.0
2024-06-30,dist km,20.32345
2024-06-30,step count,34271.0
2024-07-01,dist km,25.66163
2024-07-01,step count,38859.0
2024-07-02,dist km,32.029113
2024-07-02,step count,48089.0
2024-07-03,dist km,22.295099999999998
2024-07-03,step count,35230.0
2024-07-04,dist km,33.3482
2024-07-04,step count,52017.0
2024-07-05,dist km,18.76509
2024-07-05,step count,28795.0
2024-07-06,dist km,25.61452
2024-07-06,step count,36303.0
2024-07-07,dist km,7.26449
2024-07-07,step count,10257.0
2024-07-08,dist km,25.183514
2024-07-08,step count,40580.0
2024-07-09,dist km,30.606102
2024-07-09,step count,47724.0
2024-07-10,dist km,25.01005
2024-07-10,step count,40862.0
2024-07-11,dist km,22.262003
2024-07-11,step count,34359.0
2024-07-12,dist km,20.100144
2024-07-12,step count,30523.0
2024-07-13,dist km,33.389047
2024-07-13,step count,51278.0
2024-07-14,dist km,27.49661
2024-07-14,step count,39719.0
2024-07-15,dist km,31.90769
2024-07-15,step count,49206.0
2024-07-16,dist km,22.67879
2024-07-16,step count,34963.0
2024-07-17,dist km,28.053156
